Departamento,Total_Actas,QPDF_Estructura,Metadatos_Vacios,Multicapa_Imagenes,Porcentaje_Anomalia
AMAZONAS,176,0,176,176,0.0%
ANTIOQUIA,15731,65,15696,15729,0.4%
ARAUCA,661,15,661,661,2.3%
ATLANTICO,6173,199,6173,6172,3.2%
BOGOTA D.C.,17120,7118,17120,17116,41.6%
BOLIVAR,5351,4163,5350,5351,77.8%
BOYACA,3095,2468,3095,3095,79.7%
CALDAS,2489,339,2489,2489,13.6%
CAQUETA,983,488,983,983,49.6%
CASANARE,1020,300,1020,1020,29.4%
CAUCA,3422,2106,3422,3422,61.5%
CESAR,2749,2159,2749,2749,78.5%
CHOCO,1250,1050,1250,1250,84.0%
CORDOBA,4167,2612,4163,4167,62.7%
CUNDINAMARCA,6893,2742,6893,6893,39.8%
GUAINIA,117,92,117,117,78.6%
GUAVIARE,219,145,219,219,66.2%
HUILA,2743,2046,2743,2743,74.6%
LA GUAJIRA,2094,1376,2094,2094,65.7%
MAGDALENA,3220,2563,3220,3220,79.6%
META,2540,1884,2540,2540,74.2%
NARIÑO,3892,2697,3892,3892,69.3%
NORTE DE SAN,4072,3320,4072,4072,81.5%
PUTUMAYO,807,775,807,807,96.0%
QUINDIO,1470,1309,1470,1470,89.0%
RISARALDA,2543,1233,2543,2543,48.5%
SAN ANDRES,156,116,156,156,74.4%
SANTANDER,5671,3905,5669,5671,68.9%
SUCRE,2345,1564,2345,2344,66.7%
TOLIMA,3515,3283,3515,3515,93.4%
VALLE,11024,10613,11024,11023,96.3%
VAUPES,88,88,88,88,100.0%
VICHADA,197,197,197,197,100.0%
TOTAL NACIONAL COLOMBIA,117993,63030,117951,117984,53.4%
