codigo,dpto,mpio,mesas_reg,mesas_testigos,cepeda_reg,cepeda_testigos,delta_cepeda,espriella_reg,espriella_testigos,delta_espriella
01001,01,001,5329,5329,421839,421839,0,819285,819285,0
01004,01,004,48,48,1407,1407,0,7216,7216,0
01007,01,007,7,7,170,170,0,1011,1011,0
01010,01,010,14,14,504,504,0,2450,2450,0
01013,01,013,74,74,5478,5478,0,8746,8746,0
01016,01,016,56,56,2147,2147,0,6352,6352,0
01019,01,019,111,111,3773,3773,0,15574,15574,0
01022,01,022,19,19,835,835,0,2365,2365,0
01025,01,025,28,28,1907,1907,0,3959,3959,0
01028,01,028,43,43,3849,3849,0,2820,2820,0
01031,01,031,75,75,4482,4482,0,8535,8535,0
01034,01,034,20,20,582,582,0,2837,2837,0
01035,01,035,323,323,41593,41593,0,19891,19891,0
01037,01,037,72,72,5318,5318,0,6990,6990,0
01039,01,039,23,23,444,444,0,3006,3006,0
01040,01,040,14,14,544,544,0,1923,1923,0
01043,01,043,138,138,9313,9313,0,15604,15604,0
01046,01,046,19,19,516,516,0,2509,2509,0
01049,01,049,1043,1043,87019,87019,0,144162,144162,0
01052,01,052,25,25,704,704,0,3415,3415,0
01055,01,055,42,42,858,858,0,5607,5607,0
01058,01,058,71,71,2358,2358,0,10287,10287,0
01061,01,061,27,27,1469,1469,0,2713,2713,0
01062,01,062,23,23,761,761,0,1588,1588,0
01064,01,064,64,64,5764,5764,0,2806,2806,0
01067,01,067,21,21,765,765,0,2788,2788,0
01070,01,070,213,213,18478,18478,0,28848,28848,0
01073,01,073,22,22,2136,2136,0,2227,2227,0
01076,01,076,43,43,1483,1483,0,6839,6839,0
01078,01,078,16,16,597,597,0,1658,1658,0
01079,01,079,16,16,576,576,0,2152,2152,0
01080,01,080,149,149,16044,16044,0,9119,9119,0
01082,01,082,141,141,10601,10601,0,23928,23928,0
01085,01,085,13,13,672,672,0,1883,1883,0
01088,01,088,232,232,24556,24556,0,17048,17048,0
01091,01,091,37,37,2267,2267,0,4575,4575,0
01094,01,094,46,46,1360,1360,0,7935,7935,0
01097,01,097,13,13,372,372,0,2546,2546,0
01100,01,100,49,49,1298,1298,0,6379,6379,0
01103,01,103,227,227,18110,18110,0,28709,28709,0
01106,01,106,155,155,17140,17140,0,10458,10458,0
