codigo,dpto,mpio,mesas_total,mesas_escrutadas,censo,votantes,abstencion,nulos,no_marcados,blancos,validos,iván cepeda castro,abelardo de la espriella,,,
01001,01,001,5329,5329,1891862,1283039,608823,10998,999,29918,1271042,421839,819285,0,29918,0
01004,01,004,48,48,15398,8879,6519,59,46,151,8774,1407,7216,0,151,0
01007,01,007,7,7,2029,1214,815,9,4,20,1201,170,1011,0,20,0
01010,01,010,14,14,4743,3024,1719,16,11,43,2997,504,2450,0,43,0
01013,01,013,74,74,24772,14691,10081,180,34,253,14477,5478,8746,0,253,0
01016,01,016,56,56,19004,9017,9987,119,49,350,8849,2147,6352,0,350,0
01019,01,019,111,111,36323,19847,16476,136,41,323,19670,3773,15574,0,323,0
01022,01,022,19,19,5986,3318,2668,48,6,64,3264,835,2365,0,64,0
01025,01,025,28,28,9462,6544,2918,277,123,278,6144,1907,3959,0,278,0
01028,01,028,43,43,13703,7208,6495,118,56,365,7034,3849,2820,0,365,0
01031,01,031,75,75,24438,13524,10914,135,46,326,13343,4482,8535,0,326,0
01034,01,034,20,20,6689,3516,3173,17,17,63,3482,582,2837,0,63,0
01035,01,035,323,323,109813,63034,46779,350,85,1115,62599,41593,19891,0,1115,0
01037,01,037,72,72,23451,12504,10947,57,25,114,12422,5318,6990,0,114,0
01039,01,039,23,23,6827,3518,3309,18,7,43,3493,444,3006,0,43,0
01040,01,040,14,14,4586,2521,2065,12,12,30,2497,544,1923,0,30,0
01043,01,043,138,138,46982,26058,20924,409,63,669,25586,9313,15604,0,669,0
01046,01,046,19,19,5419,3144,2275,39,13,67,3092,516,2509,0,67,0
01049,01,049,1043,1043,379595,239132,140463,2437,216,5298,236479,87019,144162,0,5298,0
01052,01,052,25,25,8406,4217,4189,17,14,67,4186,704,3415,0,67,0
01055,01,055,42,42,13811,6637,7174,36,22,114,6579,858,5607,0,114,0
01058,01,058,71,71,23887,12964,10923,92,33,194,12839,2358,10287,0,194,0
01061,01,061,27,27,8556,4322,4234,31,16,93,4275,1469,2713,0,93,0
01062,01,062,23,23,6833,2487,4346,37,22,79,2428,761,1588,0,79,0
01064,01,064,64,64,21081,8800,12281,66,29,135,8705,5764,2806,0,135,0
01067,01,067,21,21,7295,3689,3606,41,18,77,3630,765,2788,0,77,0
01070,01,070,213,213,73226,49444,23782,810,61,1247,48573,18478,28848,0,1247,0
01073,01,073,22,22,7196,4717,2479,76,79,199,4562,2136,2227,0,199,0
01076,01,076,43,43,14948,8511,6437,49,25,115,8437,1483,6839,0,115,0
01078,01,078,16,16,4855,2312,2543,21,6,30,2285,597,1658,0,30,0
01079,01,079,16,16,4966,2802,2164,29,11,34,2762,576,2152,0,34,0
01080,01,080,149,149,49440,25857,23583,202,51,441,25604,16044,9119,0,441,0
01082,01,082,141,141,47585,35645,11940,354,36,726,35255,10601,23928,0,726,0
01085,01,085,13,13,4309,2630,1679,26,5,44,2599,672,1883,0,44,0
01088,01,088,232,232,77720,42817,34903,422,74,717,42321,24556,17048,0,717,0
01091,01,091,37,37,12820,7093,5727,87,20,144,6986,2267,4575,0,144,0
01094,01,094,46,46,14802,9522,5280,64,62,101,9396,1360,7935,0,101,0
01097,01,097,13,13,4565,2996,1569,15,7,56,2974,372,2546,0,56,0
01100,01,100,49,49,16331,7906,8425,79,25,125,7802,1298,6379,0,125,0
01103,01,103,227,227,77843,48462,29381,521,43,1079,47898,18110,28709,0,1079,0
01106,01,106,155,155,53621,28341,25280,210,57,476,28074,17140,10458,0,476,0
01109,01,109,64,64,20588,9999,10589,77,48,136,9874,4544,5194,0,136,0
01112,01,112,55,55,19227,10362,8865,92,18,251,10252,1841,8160,0,251,0
01115,01,115,35,35,11353,6396,4957,59,21,90,6316,1206,5020,0,90,0
01117,01,117,124,124,42597,19252,23345,182,54,460,19016,10709,7847,0,460,0
01118,01,118,28,28,9822,6111,3711,33,11,164,6067,1154,4749,0,164,0
01121,01,121,711,711,244817,166653,78164,948,44,3562,165661,35667,126432,0,3562,0
